Sample;Density;ModulusOfElasticity;PoissonsRatio
Cadi 1815 Copper Alloy;8.89;117.0;0.181
Cadi 182 Copper Alloy;8.89;117.0;0.181
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;3.02;330.0;0.19
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;3.0;330.0;0.18
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;3.0;350.0;0.18
M Cubed Technologies SSC-802 Reaction-Bonded Silicon Carbide;3.0;380.0;0.17
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;3.01;360.0;0.17
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;3.13;390.0;0.19
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;2.56;380.0;0.18
Plansee DENSIMET D185 Tungsten-Nickel-Iron Alloy;18.6;385.0;0.2
Ceramic Process Systems AlSiC-8, 70 vol% SiC;2.99;218.0;0.154
Arlon Electronic Materials 33N Polyimide Laminate and Prepreg;1.6;22.1;0.15
Arlon Electronic Materials 35N Fast Cure Polyimide Laminate and Prepreg;1.6;27.9;0.15
Arlon Electronic Materials EP2 Enhanced Polyimide Laminate and Prepreg;1.6;27.6;0.2
Rogers Arlon CLTE Microwave Printed Circuit Board Substrate;2.38;7.24;0.13
Rogers Arlon CLTE-AT Commercial Ceramic PTFE;2.06;1.79;0.17
Rogers Arlon AD1000 PTFE/Woven Fiberglass/Ceramic Filled Laminate for Microwave Printed Circuit Boards;3.2;1.38;0.16
Arlon Electronic Materials 47N Quick Cure Epoxy Low-Flow Prepreg;1.75;17.9;0.17
Arlon Electronic Materials 49N Multifunctional Epoxy Low-Flow Prepreg;1.75;17.9;0.17
Arlon Electronic Materials 84N Polyimide Laminate and Prepreg;1.65;20.7;0.15
Arlon Electronic Materials 45N Multifunctional Epoxy Laminate and Prepreg;1.85;19.3;0.2
Arlon Electronic Materials 44N Multifunctional Microdispersed Ceramic Filled Epoxy-Fiberglass Prepreg;1.85;19.3;0.15
