Sample;Density;ModulusOfElasticity;PoissonsRatio
Oxygen-free Electronic Copper (OFE), UNS C10100, H04 Temper, plate (25 mm Thick);8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H04 Temper, wire;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H08 Temper, flat products (1 mm Thick);8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H08 Temper, wire;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H10 Temper, flat products;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H55 (15%) temper, tubing;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H80 (15%) temper, shapes;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H80 (16%) Temper, rod;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H80 (35%), rod (25 mm Diameter);8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, H80 (40%) rod, tubing (25 mm o.d. and 1.65 wall thickness);8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, M20 temper, flat products;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, M20 temper, rod and shapes;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, M30 temper, shapes;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, OS025 temper, flat products and tubing;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, OS050 temper, flat products, rod, tubing, and shapes;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, OS050 temper, wire;8.94;115.0;0.31
Oxygen-free Electronic Copper (OFE), UNS C10100, O61 Temper Bar;8.94;115.0;0.31
Oxygen-free high conductivity Copper, Soft, UNS C10200;8.9;117.0;0.31
Oxygen-free high conductivity Copper, Hard, UNS C10200;8.9;124.5;0.31
Oxygen-free Copper (OF), UNS C10200, H00 Temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H01 Temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H02 Temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H04 Temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H04 Temper, plate (25 mm);8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H04 Temper, wire;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H08 Temper, flat products (1 mm Thick);8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H55 (15%) temper, tubing;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H80 (15%) temper, shapes;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H80 (16%) Temper, rod;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H80 (35%), rod (25 mm Diameter);8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H80 (40%) rod, tubing (25 mm o.d. and 1.65 wall thickness);8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, M20 temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, M20 temper, rod and shapes;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, M30 temper, shapes;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, OS025 temper, flat products and tubing;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, OS050 temper, flat products, rod, tubing, and shapes;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, OS050 temper, wire;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H08 Temper, Wire;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, H10 Temper, flat products;8.94;115.0;0.31
Oxygen-free Copper (OF), UNS C10200, O61 Temper Bar;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, OS025 temper, flat products, tube;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, OS050 temper, flat products, tube, and shapes;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H00 temper, flat products;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H01 temper, flat product;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H02 temper, flat product;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H04 temper, flat products;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H04 temper, plate;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, M20 temper, flat product;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H80 (15%) temper, tube, shapes;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H80 (16%) temper, rod;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H80 (35%) temper, rod;8.94;115.0;0.31
Oxygen-free extra-low phosphorus Copper, UNS C10300, H80 (40%) temper, rod, tube;8.94;115.0;0.31
Oxygen-free silver-bearing Copper, UNS C10400, OSO25 Temper flat products, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, OSO25 Temper flat products, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, OSO25 Temper flat products, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, OSO50 Temper flat products, rod, shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, OSO50 Temper flat products, rod, shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, OSO50 Temper flat products, rod, shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H00 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H00 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H00 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H01 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H01 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H01 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H02 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H02 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H02 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H04 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H04 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H04 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H08 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H08 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H08 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H10 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H10 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H10 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, M20 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, M20 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, M20 Temper flat products;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, OSO50 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, OSO50 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, OSO50 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H04 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H04 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H04 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H04 Temper flat products, 25 mm thick;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H04 Temper flat products, 25 mm thick;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H04 Temper flat products, 25 mm thick;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H08 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H08 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H08 Temper wire;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, M20 Temper flat products, rod, shapes;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, M20 Temper flat products, rod, shapes;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, M20 Temper flat products, rod, shapes;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H80 (40%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H80 (40%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H80 (40%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H80 (35%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H80 (35%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H80 (35%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H80 (16%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H80 (16%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H80 (16%) Temper rod;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H80 (15%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H80 (15%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H80 (15%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10400, H80 (50%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10500, H80 (50%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free silver-bearing Copper, UNS C10700, H80 (50%) Temper shapes, tubing;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, OSO25 Temper flat products, tubing;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, OSO50 Temper flat products, tubing;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H00 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H01 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H02 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H04 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H08 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, M20 Temper flat products;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H04 Temper flat products, 25 mm thick;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H80 (40%) Temper rod, tubing;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H80 (35%) Temper rod;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H80 (16%) Temper rod;8.94;115.0;0.307
Oxygen-free low phosphorus Copper, UNS C10800, H55 (15%) Temper tubing;8.94;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, OSO25 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, OSO25 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, OSO25 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, OSO25 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, OSO50 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, OSO50 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, OSO50 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, OSO50 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H00 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H00 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H00 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H00 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H01 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H01 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H01 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H01 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H02 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H02 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H02 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H02 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H04 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H04 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H04 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H04 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H08 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H08 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H08 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H08 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H10 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H10 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H10 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H10 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, M20 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, M20 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, M20 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, M20 Temper flat products;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, OSO50 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, OSO50 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, OSO50 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, OSO50 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H04 Temper flat products, 25 mm thick;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H04 Temper flat products, 25 mm thick;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H04 Temper flat products, 25 mm thick;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H04 Temper flat products, 25 mm thick;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H02 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H02 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H02 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H02 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H08 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H08 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H08 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H08 Temper wire;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, M20 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, M20 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, M20 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, M20 Temper flat products, rod, shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H80 (40%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H80 (40%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H80 (40%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H80 (40%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H80 (35%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H80 (35%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H80 (35%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H80 (35%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H80 (16%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H80 (16%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H80 (16%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H80 (16%) Temper rod;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, H80 (15%) Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, H80 (15%) Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, H80 (15%) Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, H80 (15%) Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11300, M30 Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11400, M30 Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11500, M30 Temper shapes;8.91;115.0;0.307
Silver-bearing tough pitch Copper, UNS C11600, M30 Temper shapes;8.91;115.0;0.307
Copper, UNS C15500, O50 (Light Anneal) Temper;8.9;115.0;0.307
Copper, UNS C15500, H01 (Quarter Hard) Temper;8.9;115.0;0.307
Copper, UNS C15500, H02 (Half Hard) Temper;8.9;115.0;0.307
Copper, UNS C15500, H04 (Hard) Temper;8.9;115.0;0.307
Copper, UNS C15500, H08 (Spring) Temper;8.9;115.0;0.307
Copper, UNS C15500, H10 (Extra Spring) Temper;8.9;115.0;0.307
Copper, UNS C15500, Super Spring Temper;8.9;115.0;0.307
Copper, UNS C15500, Special Spring Temper;8.9;115.0;0.307
Copper, UNS C15500, Light Anneal;8.9;115.0;0.307
Copper, UNS C15500, Quarter Hard;8.9;115.0;0.307
Cadmium Copper, UNS C16200, OSO25 Temper flat products;8.89;115.0;0.307
Cadmium Copper, UNS C16200, OSO50 Temper rod;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Hard Temper flat products;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Spring Temper flat products;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Extra Spring Temper flat products;8.89;115.0;0.307
Cadmium Copper, UNS C16200, OSO25 Temper rod;8.89;115.0;0.307
Cadmium Copper, UNS C16200, OSO25 Temper wire;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Hard Temper rod;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Hard Temper wire;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Spring Temper wire;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Half Hard (25%) Temper rod;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Drawn (>99%) Temper wire;8.89;115.0;0.307
Cadmium Copper, UNS C16200, Drawn (>96%) Temper wire;8.89;115.0;0.307
Copper, UNS C19200, O50 Temper tubing;8.87;115.0;0.307
Copper, UNS C19200, O60 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, O82 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H02 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H04 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H06 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H08 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H10 Temper strip;8.87;115.0;0.307
Copper, UNS C19200, H55 Temper tubing;8.87;115.0;0.307
Copper, UNS C19200, H80 (40%) Temper tubing;8.87;115.0;0.307
Copper, UNS C19200, 060 Temper tubing;8.87;115.0;0.307
Gilding Copper, UNS C21000, OSO50 Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, OSO35 Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, OSO15 Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, Quarter Hard Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, Half Hard Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, Hard Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, Extra Hard Temper;8.86;115.0;0.307
Gilding Copper, UNS C21000, Spring Temper;8.86;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), OSO50 Temper flat products;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), OSO35 Temper 1 mm flat products;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), OSO25 Temper flat products;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), OSO15 Temper flat products;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), H00 Temper wire;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), H01 Temper flat products;8.8;115.0;0.307
Commercial Bronze, UNS C22000 (90-10 Bronze), H02 Temper flat products;8.8;115.0;0.307
Copper, UNS C12000;8.89;115.0;0.31
Copper, UNS C12100;8.89;115.0;0.31
Phosphorus deoxidized Copper high residual phosphorus, UNS C12200;8.94;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, OSO25 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, OSO50 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H02 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H10 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, M20 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H04 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, OSO50 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H08 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, M20 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H80 (35%) Temper rod;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, H80 (15%) Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper, UNS C12500, M30 Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, OSO25 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, OSO50 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H00 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H02 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H04 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H08 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H10 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, M20 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H04 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, OSO50 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H08 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, M20 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H80 (35%) Temper rod;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, H80 (15%) Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12700, M30 Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, OSO25 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, OSO50 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H00 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H02 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H04 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H08 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H10 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, M20 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H04 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, OSO50 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H08 Temper wire;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, M20 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H80 (35%) Temper rod;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, H80 (15%) Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12800, M30 Temper shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12900, OSO25 Temper flat products;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12900 OSO50 Temper rod, shapes;8.89;115.0;0.31
Fire-refined Tough Pitch Copper with Silver, UNS C12900, H00 Temper flat products;8.89;115.0;0.31
